"country","year","democracy","GDP","Status","fiw","lndn13","logGDP","GDP_growth","ntl_growth","GDP_growth_avg","ntl_growth_avg"
"Germany E.",2013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany W.",2013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana",2013,1,3.2507e+10,"F",0.5,-0.038372844,24.2047212877056,0.0688896023598247,-0.065448522,0.0567616858653263,0.0548719502857143
"Greece",2013,1,1.60981e+11,"F",1,1.9701666,25.8045521825445,-0.0393148430999801,-0.00587340000000003,0.0100144761817648,0.0383923
"Grenada",2013,1,1.892e+09,"F",0.5,2.6464243,21.3609003075761,0.0181338302380425,-0.00643780000000005,0.0224735699363363,0.0608322619047619
"Guatemala",2013,1,2.21842e+11,"PF",2.5,0.96274191,26.12523125372,0.0362370959767873,-0.02550489,0.0359478574773942,0.0656142004761905
"Guinea",2013,0,8.88136e+12,"PF",4,-2.4421806,29.814975814359,0.0246927814834379,0.1116231,0.0326194390528524,0.0688640952380953
"Guinea-Bissau",2013,0,3.59563e+11,"NF",4.5,-2.9387958,26.6081552421478,0.00254799911178694,-0.1734297,0.0113114154932074,0.016283819047619
"Guyana",2013,1,3.60123e+11,"F",1.5,-2.2502158,26.6097114767085,0.0519127190646245,0.0806621999999999,0.0304255940127307,0.0539755476190476
"Haiti",2013,0,1.5026e+10,"PF",3.5,-0.043540452,23.4330478708934,0.0420678343676322,-0.013101982,0.0113013013241118,0.0593543499047619
"Honduras",2013,1,1.76789e+11,"PF",3,0.64540935,25.8982227680198,0.0253136019071007,0.02410049,0.0353322891785409,0.07574774
"Hungary",2013,1,2.19818e+13,"F",0.5,1.7508765,30.7212359541807,0.0109367692384197,-0.1929797,0.0183630450953352,0.0242141857142857
"Iceland",2013,1,1.11014e+12,"F",0,-0.078111291,27.7355072494257,0.0321096595215664,0.061299519,0.0274434391625772,0.0936838827857143
"India",2013,1,6.19584e+13,"F",1.5,1.6364059,31.7574843080321,0.0489511722498435,-0.0146888000000001,0.0648959195920597,0.0449803452380952
"Indonesia",2013,1,2.77035e+15,"PF",2,0.32132226,35.5577500609186,0.0562040102521948,-0.07005286,0.0451403268742836,0.0575307576190476
"Iran",2013,0,NA,"NF",5,NA,NA,NA,NA,NA,NA
"Iraq",2013,0,72802800000,"NF",4.5,1.370924,25.0110202529479,0.0387635824921411,0.0919905000000001,0.0416602266047422,0.0409307452380952
"Ireland",2013,1,1.66723e+11,"F",0,2.0363221,25.8395995895914,-0.00340105832398407,-0.0500900999999998,0.0441027083311943,0.0305625142857143
"Israel",2013,1,8.46935e+11,"F",0.5,3.1292922,27.4648897872133,0.0325635421966659,0.00902120000000028,0.0418106678646236,0.0249141476190476
"Italy",2013,1,1.36523e+12,"F",0,2.9219072,27.9423440285397,-0.0187143783719605,-0.0656433000000001,0.00636845494846111,0.0221132571428572
"Jamaica",2013,1,8.58827e+11,"F",1.5,2.280756,27.4788333416743,0.0126680011895033,-0.0180109000000002,0.0066717430193548,0.0181319619047619
"Japan",2013,1,5.25371e+14,"F",0,2.6504812,33.8951257956155,0.015276813558522,-0.00306369999999978,0.00820871988834359,0.00973368571428571
"Jordan",2013,0,10812800000,"NF",4.5,1.3930368,23.1039964544842,0.0278954681548136,0.00852209999999998,0.047741420844899,0.0467460814285714
"Kazakhstan",2013,0,6.88894e+12,"NF",4.5,-0.52232522,29.5609383429647,0.0582689081239742,0.01198137,0.0371664092340672,0.0211274904761905
"Kenya",2013,1,1.68615e+12,"PF",3,-1.3239627,28.1534689395223,0.0458099993650301,0.00851389999999985,0.0342326740392917,0.0521367142857143
"Kiribati",2013,1,1.65e+08,"F",0,-1.3832474,18.9214560318649,0.0292946818092652,0.1246466,0.0280919568138585,-0.0181915
"Kosovo",2013,0,4.63e+09,"PF",3.5,NA,22.2558227050446,0.0296129786097055,NA,0.055250173709534,NA
"Kuwait",2013,0,NA,"PF",4,2.9798291,NA,NA,-0.0019083000000002,0.0544512802202275,0.0337255333333333
"Kyrgyzstan",2013,0,NA,"PF",4,NA,NA,NA,NA,NA,NA
"Laos",2013,0,NA,"NF",5.5,NA,NA,NA,NA,NA,NA
